smiles,doi,pce,pcePredicated,pce_abs_error
C#Cc1sc(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc23)c(C)c1C,10.1021/ar900061z,2.37,2.6225061,0.25250609999999973
COc1c2sccc2c2cc(-c3ccc(-c4sc(-c5nc(C)c(-c6cccs6)s5)nc4C)s3)sc2c1OC,10.1002/adma.201200721,2.81,3.0740302,0.2640302000000001
COC(=O)c1sc2csc(-c3sc4c(c3F)c(OC)c3scc(F)c3c4OC)c2c1F,10.1021/ja108601g,2.7,3.006416,0.306416
COc1c2ccsc2c(OC)c2cc(-c3cc(C)c(-c4sc(-c5sccc5C)c5c4C(=O)N(C)C5=O)s3)sc21,10.1039/C1EE01072G,3.9,4.208003,0.3080029999999998
C=Cc1ccc2c3ccccc3n(-c3ccc(OC)cc3)c2c1,10.1039/C1EE01072G,0.4,0.7307526,0.33075259999999995
Cc1ccc(-n2c(-c3ccsc3)nc3c2c2ccc(C)cc2c2cc(C)ccc32)cc1,10.1002/adma.200802379,4.1,3.7457645,0.3542354999999997
Cc1csc(-c2sc(-c3ccc(-c4cc(C)c(-c5cc(C)c(-c6ccc7c8cc9c(cc8n(C)c7c6)c6ccccc6n9C)s5)s4)c4nsnc43)cc2C)c1,10.1039/b9py00325h,3.6,3.2186425,0.3813575
Cc1nc(-c2nc(C)c(-c3ccc(C4=S=C5c6sccc6C(C)(C)C5=C4)s3)s2)sc1-c1cccs1,10.1002/adma.201200721,3.04,3.462685,0.422685
COc1cccc2c1ccc(-c1ccc(-c3ccc(-c4cccs4)c4nsnc43)s1)c2OC,10.1016/j.solmat.2011.01.028,4.15,3.726774,0.42322600000000055
C#Cc1cc(OC)c(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc32)cc1OC,10.1021/ar900061z,1.34,1.8083879,0.46838789999999997
COc1c2sccc2c2cc(-c3cc(C)c(-c4nc5sc(-c6sccc6C)nc5s4)s3)sc2c1OC,10.1002/adma.201200721,3.4,2.9170783,0.4829216999999999
CC1(C)c2ccccc2-c2cc3c(cc21)-c1cc2c(cc1C3(C)C)-c1ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc1C2(C)C,10.1021/ja909111p,4.5,4.984547,0.48454700000000006
Cc1c2cc(-c3ccc(-c4c5nn(C)nc5c(-c5cccs5)c(F)c4F)s3)sc2c(C)c2ccsc21,10.1021/ja1112595,6.81,6.3113923,0.4986077
CC1(C)CC(C=Cc2ccc(N(c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)=CC(=C(C#N)C(=O)O)C1,10.1021/jo800159t,2.87,2.349721,0.5202789999999999
COC(=O)C(C#N)=Cc1cc(C)c(-c2cc(C)c(-c3cc(C)c(-c4ccc(-c5sc(-c6sc(-c7sc(C=C(C#N)C(=O)OC)cc7C)cc6C)cc5C)s4)s3)s2)s1,10.1021/ar400088c,5.08,4.5586867,0.5213133000000001
COc1c2ccsc2c(OC)c2cc(-c3scc4sc(S(C)(=O)=O)cc43)sc21,10.1039/c1cc12575c,6.22,6.7613425,0.5413424999999998
Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)s7)c7nsnc76)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,10.1021/ar900061z,3.87,3.2858014,0.5841986000000001
Cc1ccsc1-c1cc(C)c(-c2ccc(-c3cc(C)c(C4=S=C(c5ccc6c7cc8c(cc7n(C)c6c5)c5ccccc5n8C)C(C)=C4)s3)c3nsnc32)s1,10.1021/ar900061z,3.61,3.0086079,0.6013921
COc1ccc(-c2nc3c(nc2-c2ccc(OC)cc2)c(-c2ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s2)sc3-c2cccs2)cc1,10.1021/ar900061z,2.2,1.5807601,0.6192399000000002
CC1(C)c2ccccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5cccs5)c5c4=NC(c4ccccc4)C(c4ccccc4)N=5)s2)cc1C3(C)C,10.1021/ja909111p,3.04,3.7275984,0.6875984000000002
CC1(C)c2ccsc2-c2sc(-c3c4nsnc4cc(F)c3F)cc21,10.1038/ncomms2411,5.6,6.309231,0.709231
COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c(s5)c(-c5ccc(C)s5)c5ccsc5c6-c5ccc(C)s5)s4)c3nc2-c2cccc(OC)c2)c1,10.1021/ar5000743,5,5.7365427,0.7365427000000002
C=Cc1sccc1C(=O)OC,10.1039/b9py00325h,2.01,2.7600198,0.7500198
COc1c2cc(-c3cc(C=Cc4sc(-c5ccc(-c6cc(C)cs6)c6nsnc65)cc4C)cs3)sc2c(OC)c2ccsc21,10.1039/C1CC12851E,4.32,5.077594,0.7575940000000001
CN1C(=O)C2=C(c3ccc(C#Cc4cc5ccccc5c5ccccc45)s3)N(C)C(=O)C2=C1c1ccc(C#Cc2cc3ccccc3c3ccccc23)s1,10.1016/j.solmat.2011.05.006,1.72,2.5168812,0.7968811999999998
Cn1c(-c2ccc(C=C(C#N)C(=O)O)s2)ccc1-c1ccc2c(c1)C(C)(C)c1cc(N(c3ccccc3)c3cccc4ccccc43)ccc1-2,10.1021/jp801036s,6.18,5.357031,0.8229689999999996
Cc1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)sc1-c1nc2sc(-c3sc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3C)nc2s1,10.1002/adma.201200721,3.73,4.5549107,0.8249106999999998
CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4nnc(-c5cccs5)nn4)s2)cc1C3(C)C,10.1021/cm2019586,3.04,3.881448,0.8414479999999998
COc1cc2c3ccsc3c3sc(-c4sc(-c5ccc(-c6cc(C)cs6)c6nsnc65)cc4C)cc3c2cc1OC,10.1039/C1CC13690A,5.27,6.1442986,0.8742986000000004
COc1c(OC)c(-c2ccc(-c3ccc(-c4ccc5c6ccccc6n(C)c5c4)s3)s2)c2nsnc2c1-c1ccc(-c2cccs2)s1,10.1039/c1jm12089a,4.12,3.2333496,0.8866504000000002
COc1c2cc(-c3cccs3)sc2c(OC)c2cc(-c3ccc(-c4ccc5c(c4)N(C)C(=O)C5=C4c5ccccc5N(C)C4=O)s3)sc21,10.1039/C3PY01598J,4.22,3.3249688,0.8950311999999996
COc1cccc(C2N=c3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)s4)c3=NC2c2cccc(OC)c2)c1,10.1039/b9py00325h,3.7,2.7960577,0.9039423000000002
Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(C)c4ccsc4c5C)s3)c3nsnc32)c1,10.1002/anie.201005451,5,4.0937233,0.9062767000000003
COC(=O)c1cc2csc(-c3cc4c(s3)c(OC)c3ccsc3c4OC)c2s1,10.1039/C1EE01072G,5.6,4.667815,0.9321849999999996
COC(=O)c1cc2c(-c3cccs3)sc(-c3ccc(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)s3)c2s1,10.1021/ar5000743,4.5,3.5514376,0.9485624000000001
COc1c2ccsc2c(OC)c2cc(-c3cc(C)c(-c4nc5sc(-c6sccc6C)nc5s4)s3)sc21,10.1002/adma.201200721,2.72,1.7359399,0.9840601000000002
Cc1ccc(-c2nc3cccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5cc(-c7cccs7)ccc5-6)s4)c3nc2-c2ccc(C)s2)s1,10.1021/ma1027164,4.4,5.3855257,0.9855256999999993
Cc1nc2c3ccsc3c3sc(-c4ccc(-c5cnc(C6=S=CC=C6)c6nsnc65)s4)cc3c2nc1C,10.1002/anie.201003357,5.57,4.575347,0.9946530000000005
CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4ccc(-c5cccs5)c5nsnc54)s2)cc1C3(C)C,10.1021/cm2019586,6.17,7.1648517,0.9948516999999999
Cc1ccc(-c2ccc(-c3ncc(-c4cc5c(s4)-c4sc(-c6cnc(-c7ccc(-c8ccc(C)s8)s7)c7nsnc76)cc4[Si]5(C)C)c4nsnc43)s2)s1,10.1039/C1JM11963J,3.2,4.2078238,1.0078237999999997
Cc1cc(C)c(-c2c3cc(-c4ccc(-c5ccc(-c6cccs6)c6nsnc65)s4)sc3c(-c3sc(C)cc3C)c3ccsc32)s1,10.1021/ar5000743,5.66,4.64386,1.01614
Cc1cc(-c2cc3c4nsnc4c(-c4cc(C)c(-c5cccs5)s4)cc3c3nsnc32)sc1-c1cccs1,10.1021/ja210687r,6.3,5.2759566,1.0240434
Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5cccs5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,10.1021/ar900061z,2.71,3.745579,1.0355790000000002
Cc1ccsc1C1=NC2SC(c3sc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)cc3C)=NC2S1,10.1002/adma.201200721,5.59,6.6268773,1.0368773000000004
Cn1c(-c2ccc(C=C(C#N)C(=O)O)s2)ccc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1,10.1021/jp801036s,4.79,3.7523024,1.0376976
CN1C(=O)C2=C(c3cc4sccc4s3)N(C)C(=O)C2=C1c1cc2sccc2s1,10.1021/ja110619k,3,4.042983,1.0429830000000004
Cc1csc(-c2ccc(C3=C4C(=O)N(C)C(c5ccc(-c6cc(C)cs6)s5)=C4C(=O)N3C)s2)c1,10.1039/C1EE01072G,4,5.0554695,1.0554695
Cc1ccc(-c2csc(-c3cc(-c4ccc(C)s4)c(-c4ccc(C5=C6C(=O)N(C)C(c7cccs7)=C6C(=O)N5C)s4)s3)c2)s1,10.1039/C1EE01072G,2.4,3.477157,1.0771570000000001
CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4nc5sc(-c6cccs6)nc5s4)s2)cc1C3(C)C,10.1002/adma.201200721,5.79,4.7019897,1.0880102999999997
C=Cc1cc(OC)c(C=Cc2cc(C=C(C#N)c3ccc([N+](=O)[O-])cc3)ccc2C=C(C#N)c2ccc([N+](=O)[O-])cc2)cc1OC,10.1021/ma100943t,3.35,2.2533276,1.0966724
COc1c2ccsc2c(OC)c2c1=S=C(c1cc(C)c(-c3ccc(-c4sc(-c5nc(C)c(-c6ccc(-c7sccc7C)s6)s5)nc4C)s3)s1)C=2,10.1002/adma.201200721,4.46,3.3439453,1.1160546999999998
Cc1ccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c7ccccc7n(C)c6c5)s4)c3nc2-c2ccc(C)s2)s1,10.1021/ma1027164,3.5,2.3811173,1.1188827
Cc1csc(-c2nnc(-c3cc(C)c(-c4cc5c(s4)-c4sccc4[Si]5(C)C)s3)nn2)c1,10.1039/c0cc02766a,4.2,5.318895,1.1188950000000002
Cc1ccc(-c2c3ccsc3c(-c3ccc(C)s3)c3cc(-c4ccc(-c5nc6sc(-c7cccs7)nc6s5)s4)sc32)s1,10.1002/adma.201200721,5.22,4.093771,1.1262289999999995
Cc1ccsc1-c1ccc(-c2ccc(-c3sccc3C)s2)s1,10.1016/j.solmat.2009.10.025,0.5,1.6711818,1.1711818
COc1c2ccsc2c(OC)c2cc(-c3scc4cc(C(C)=O)sc43)sc21,10.1039/C1EE01072G,6.6,7.81458,1.2145800000000007
